gw,out_player_id,out_name,actual_in_player_id,actual_in_name,hold_end_gw,bank_before,out_sale_price,budget_cap,actual_in_pool,rule_pick_player_id,rule_pick_name,rule_form_points_4gw,rule_minutes_4gw,rule_price,actual_pts,rule_pts,nothing_pts
2,624,Bowen,661,Ekitiké,5,1.0,8.0,9.0,False,,NO_CANDIDATE,,,,21,,22
3,235,Palmer,427,Reijnders,9,0.5,10.5,11.0,True,82.0,Semenyo,21.0,180.0,8.0,21,52.0,8
3,610,Wan-Bissaka,568,Pedro Porro,5,0.5,4.5,5.0,False,477.0,Livramento,13.0,180.0,4.9,11,18.0,0
4,654,Strand Larsen,283,Mateta,5,4.4,6.5,10.9,True,249.0,João Pedro,26.0,252.0,7.4,8,9.0,1
7,381,M.Salah,16,Saka,12,0.4,14.5,14.9,False,390.0,Gravenberch,28.0,360.0,5.4,37,18.0,24
8,242,Dewsbury-Hall,160,Minteh,12,5.1,5.0,10.1,True,82.0,Semenyo,43.0,360.0,8.0,30,9.0,28
8,217,Foster,624,Bowen,11,5.1,5.0,10.1,True,714.0,Woltemade,24.0,303.0,6.7,11,16.0,7
9,414,Foden,237,Enzo,12,1.4,8.0,9.4,True,82.0,Semenyo,34.0,360.0,8.0,18,5.0,10
10,72,Senesi,260,Guéhi,12,2.7,4.9,7.6000000000000005,True,575.0,Van de Ven,27.0,360.0,4.4,15,3.0,8
10,427,Reijnders,299,Ndiaye,12,2.7,5.6,8.3,True,82.0,Semenyo,32.0,360.0,8.0,15,2.0,2
10,597,Richarlison,283,Mateta,12,2.7,6.6,9.3,True,178.0,Welbeck,31.0,292.0,6.3,12,16.0,13
12,582,Kudus,119,Mbeumo,12,0.8,6.5,7.3,False,236.0,Neto,32.0,321.0,7.0,1,8.0,2
12,624,Bowen,100,Kroupi.Jr,12,0.8,7.7,8.5,True,136.0,Thiago,28.0,360.0,7.2,2,4.0,4
12,5,Gabriel,72,Senesi,12,0.8,6.3,7.1,True,411.0,O'Reilly,31.0,293.0,5.3,3,1.0,0
14,160,Minteh,449,B.Fernandes,17,3.3,6.1,9.399999999999999,False,242.0,Dewsbury-Hall,31.0,347.0,5.3,36,20.0,10
15,237,Enzo,488,Bruno G.,22,0.5,6.7,7.2,True,22.0,Merino,32.0,357.0,5.3,49,9.0,35
16,283,Mateta,136,Thiago,18,0.4,7.8,8.2,True,691.0,Calvert-Lewin,23.0,239.0,5.8,9,30.0,6
16,299,Ndiaye,329,Wilson,22,0.4,6.5,6.9,True,242.0,Dewsbury-Hall,39.0,357.0,5.3,42,1.0,2
17,119,Mbeumo,414,Foden,22,2.4,8.2,10.6,True,414.0,Foden,55.0,338.0,8.0,13,13.0,9
18,449,B.Fernandes,708,M.Fernandes,20,1.8,9.1,10.9,True,47.0,Rogers,38.0,360.0,7.3,7,7.0,0
18,100,Kroupi.Jr,661,Ekitiké,19,1.8,4.6,6.3999999999999995,False,691.0,Calvert-Lewin,37.0,351.0,5.8,7,9.0,1
19,136,Thiago,714,Woltemade,22,1.2,7.0,8.2,True,691.0,Calvert-Lewin,36.0,350.0,5.8,9,13.0,33
19,72,Senesi,441,Dorgu,22,1.2,4.9,6.1000000000000005,True,403.0,Gvardiol,34.0,339.0,5.8,23,2.0,13
