player,squad,xi
Calafiori,15,15
João Pedro,15,12
Calvert-Lewin,14,11
B.Fernandes,13,13
Verbruggen,13,3
Mbeumo,12,12
White,11,10
Raya,9,8
Szoboszlai,9,9
Isak,8,8
Maguire,8,7
Palmer,8,8
Ndiaye,7,3
O'Shea,5,0
De Cuyper,5,3
Kinsky,5,3
Haaland,5,5
Tarkowski,4,3
Groß,4,2
Davis,4,0
Shaw,3,0
Semenyo,3,3
Gabriel,2,2
N.Williams,2,0
Tzolis,2,1
M.Sangaré,2,2
Ødegaard,2,2
Foden,2,2
Gakpo,2,2
Robertson,2,0
Thomas,1,1
Rushworth,1,0
Wirtz,1,1
Richarlison,1,0
Palestra,1,0
Diop,1,0
Konsa,1,1
Justin,1,1
Gibbs-White,1,1
Thiago,1,1
Kayode,1,0
Vuskovic,1,0
Wissa,1,1
Sarr,1,0
Muharemović,1,0
Gvardiol,1,1
E.Le Fée,1,1
Gomez,1,1
Lammens,1,1
Ballard,1,1
Rodon,1,0
Scherpen,1,0
Ajer,1,0
George Hemmings,1,0
Mosquera,1,1
Van Hecke,1,1
Stach,1,1
Saka,1,1
Caicedo,1,0
