manager,median,src,GKP,DEF,MID,FWD,XI,bench,form,maxclub
Archie C,24393,GW2,6.0,23.7,32.8,16.7,79.2,21.0,4-4-2,3
Jake OmniFPL,32497,GW2,6.0,16.2,43.9,13.7,79.8,20.4,3-5-2,3
Patrick Goodwin,33527,GW2,6.0,16.2,42.4,16.7,81.3,19.2,3-5-2,3
Gary Fox,33854,GW2,4.5,16.2,36.5,22.7,79.9,20.4,3-4-3,3
Andrew Tiffany,36608,GW3,4.5,14.6,39.2,21.5,79.8,20.6,3-5-2,3
Stian Herseth,40485,GW3,6.0,15.9,36.0,21.5,79.4,21.2,3-5-2,3
Diarmuid O-Neill,43187,GW2,6.0,16.2,36.5,22.7,81.4,18.9,3-4-3,3
Tadhg O'Neill,45508,GW2,6.0,16.2,36.5,22.7,81.4,18.9,3-4-3,3
Graham Crilly,46284,GW2,6.0,16.2,36.2,21.6,80.0,20.0,3-4-3,3
Stijn Uijterlinde,46464,GW3,4.5,15.9,29.0,29.4,78.8,21.7,3-4-3,3
Mateusz Michalak,47806,GW3,4.5,16.0,36.5,21.5,78.5,22.1,3-5-2,3
Piotr Skrzypczyk,50018,GW2,5.0,16.1,36.5,22.7,80.3,20.1,3-4-3,3
Cathal Turner,52206,GW2,4.5,16.2,32.1,29.2,82.0,18.4,3-4-3,3
BTB Nationed,54175,GW2,6.0,19.7,34.5,22.7,82.9,17.5,3-4-3,3
Harry Stefan,54594,GW2,4.5,22.0,37.1,16.7,80.3,19.9,4-4-2,3
