code,player_id,name,full_name,position,club,club_id,price,status,chance,news,ownership,ep_next,penalties_order,set_piece_order,prior_club,history,ls_minutes,ls_points,ls_starts,ls_xgi,ls_clean_sheets,dc_per_90,team_strength,fdr_gw1,fdr_next5,gw1_opp,gw1_home,pp90,xgi90,xgi_implied_pp90,dc_points_per_90,rate_per_90,reliability,minutes_per_start,start_share,proj_minutes,available,fixture_mult,fdr_blend,xp,xp_per_million
154561,1,Raya,David Raya Martín,GKP,Arsenal,1,6.0,a,,,29.8,4.0,,,Arsenal,full,3330.0,162.0,37.0,0.07,19.0,0.0,4.5,2,3.2,COV,True,4.378378378378379,0.0018918918918918919,,0.0,3.811149445967585,0.7872340425531915,90.0,0.9367301231802913,84.30571108622621,True,1.0196,2.7199999999999998,3.639990852383317,0.6066651420638861
109745,2,Arrizabalaga,Kepa Arrizabalaga Revuelta,GKP,Arsenal,1,5.0,a,,,0.2,2.6,,,Arsenal,full,90.0,2.0,1.0,0.0,0.0,0.0,4.5,2,3.2,COV,True,2.0,0.0,,0.0,3.811149445967585,0.09090909090909091,,0.6342105263157893,2.3684210526315788,True,1.0196,2.7199999999999998,0.10225915723969868,0.020451831447939738
437495,3,Meslier,Illan Meslier,GKP,Arsenal,1,5.0,a,,,0.1,2.6,,,Leeds,none,0.0,0.0,0.0,0.0,0.0,,4.5,2,3.2,COV,True,,,,0.0,3.811149445967585,0.0,,0.695,48.684374999999996,True,1.0196,2.7199999999999998,2.102000889035281,0.4204001778070562
226597,4,Gabriel,Gabriel dos Santos Magalhães,DEF,Arsenal,1,8.0,a,,,24.7,4.0,,,Arsenal,full,2750.0,209.0,30.0,4.69,18.0,9.065454545454545,4.5,2,3.2,COV,True,6.84,0.1534909090909091,4.226905150545951,1.8130909090909089,5.3396757386787375,0.7534246575342466,90.0,0.7920692141312184,71.28622927180966,True,1.0196,2.7199999999999998,4.312288864265398,0.5390361080331747
445122,5,J.Timber,Jurriën Timber,DEF,Arsenal,1,6.5,i,0.0,Groin injury - Expected back 21 Aug,0.8,0.0,,,Arsenal,full,2452.0,149.0,28.0,6.24,13.0,5.432300163132137,4.5,2,3.2,COV,True,5.469004893964112,0.22903752039151715,4.710082563615717,1.0864600326264273,4.676759773009911,0.7315035799522673,87.57142857142857,0.7520487102887445,0.0,False,1.0196,2.7199999999999998,0.0,0.0
462424,6,Saliba,William Saliba,DEF,Arsenal,1,6.0,i,0.0,Back injury - Unknown return date,0.5,0.0,,,Arsenal,full,2614.0,137.0,30.0,2.09,15.0,6.644988523335884,4.5,2,3.2,COV,True,4.716908951798011,0.07195868400918133,3.705445234361809,1.3289977046671768,4.125126140385933,0.7438816163915766,87.13333333333334,0.7867410710215692,0.0,False,1.0196,2.7199999999999998,0.0,0.0
499169,7,Lewis-Skelly,Myles Lewis-Skelly,MID,Arsenal,1,5.5,a,,,0.3,2.0,,,Arsenal,full,697.0,29.0,5.0,0.3,2.0,3.2281205164992826,4.5,2,3.2,COV,True,3.7446197991391674,0.03873744619799139,3.4342246871698787,0.5380200860832137,3.8270099754922215,0.4364433312460864,90.0,0.3694447146165427,33.250024315488844,True,1.014,2.7199999999999998,1.4336627687456112,0.2606659579537475
466075,8,Calafiori,Riccardo Calafiori,DEF,Arsenal,1,5.5,a,,,11.7,2.5,,,Arsenal,full,1697.0,109.0,22.0,4.12,13.0,5.409546258102534,4.5,2,3.2,COV,True,5.78078962875663,0.2185032410135533,4.642707922043173,1.0819092516205067,4.694439826726954,0.6534462841740469,77.13636363636364,0.6323876167625204,48.78008116572715,True,1.0196,2.7199999999999998,2.594260675872889,0.4716837592496162
448104,9,Hincapie,Piero Hincapié,DEF,Arsenal,1,5.5,a,,,5.8,2.5,,,Arsenal,full,1787.0,87.0,20.0,2.03,5.0,8.612199216564074,4.5,2,3.2,COV,True,4.3816452154448795,0.10223838836038052,3.89910672314406,1.7224398433128147,4.1717246693170225,0.6650539635280982,89.35,0.5955948166398262,53.21639686676846,True,1.0196,2.7199999999999998,2.5150604119048876,0.4572837112554341
198869,10,White,Benjamin White,DEF,Arsenal,1,5.5,i,0.0,Knee injury - Expected back 21 Aug,0.0,0.0,,,Arsenal,full,699.0,45.0,9.0,1.14,5.0,6.824034334763948,4.5,2,3.2,COV,True,5.793991416309012,0.1467811158798283,4.183990975175957,1.3648068669527897,4.436308230278888,0.4371482176360225,77.66666666666667,0.516191112007934,0.0,False,1.0196,2.7199999999999998,0.0,0.0
