code,player_id,name,full_name,position,club,club_id,price,status,chance,news,ownership,ep_next,penalties_order,set_piece_order,prior_club,history,ls_minutes,ls_points,ls_starts,ls_xgi,ls_clean_sheets,dc_per_90,team_strength,fdr_gw1,fdr_next5,gw1_opp,gw1_home,pp90,xgi90,xgi_implied_pp90,dc_points_per_90,rate_per_90,reliability,minutes_per_start,start_share,proj_minutes,available,fixture_mult,fdr_blend,xp,xp_per_million,is_starter,is_captain
154561,1,Raya,David Raya Martín,GKP,Arsenal,1,6.0,a,,,29.8,4.0,,,Arsenal,full,3330.0,162.0,37.0,0.07,19.0,0.0,4.5,2,3.2,COV,True,4.378378378378379,0.0018918918918918919,,0.0,3.811149445967585,0.7872340425531915,90.0,0.9367301231802913,84.30571108622621,True,1.0196,2.7199999999999998,3.639990852383317,0.6066651420638861,True,False
97032,356,Virgil,Virgil van Dijk,DEF,Liverpool,14,6.5,a,,,15.3,3.1,,,Liverpool,full,3420.0,175.0,38.0,5.21,10.0,9.263157894736842,4.0,3,2.6,NEW,False,4.605263157894736,0.13710526315789476,4.122106617864086,1.8526315789473684,4.42629543763149,0.7916666666666666,90.0,0.9569746376811594,86.12771739130434,True,1.0168,2.7600000000000002,4.3070147942384756,0.6626176606520732,True,False
209036,388,Guéhi,Marc Guéhi,DEF,Man City,15,6.0,a,,,25.4,2.8,,,Man City,full,3150.0,179.0,35.0,6.42,14.0,7.942857142857143,4.5,3,2.8,BOU,True,5.114285714285715,0.18342857142857144,4.418379023333034,1.5885714285714285,4.644697244188787,0.7777777777777778,90.0,0.8894419018560895,80.04977116704805,True,1.0084,2.88,4.165890332560515,0.6943150554267525,True,False
17761,229,Tarkowski,James Tarkowski,DEF,Everton,9,6.0,a,,,10.9,2.8,,,Everton,full,3330.0,170.0,37.0,4.63,11.0,10.162162162162163,3.0,3,3.0,CRY,True,4.594594594594595,0.12513513513513513,4.04554864401749,2.0,4.445019325731209,0.7872340425531915,90.0,0.932220409951799,83.8998368956619,True,1.0,3.0,4.143737738076817,0.6906229563461362,True,False
204480,13,Rice,Declan Rice,MID,Arsenal,1,7.5,a,,,22.5,2.6,,5.0,Arsenal,full,3093.0,184.0,35.0,10.47,18.0,10.940834141610086,4.5,2,3.2,COV,True,5.354025218234724,0.30465567410281286,4.471310503344334,1.8234723569350144,4.945041731717318,0.7746055597295267,88.37142857142857,0.8885454873371146,78.52203406667701,True,1.014,2.7199999999999998,4.37478735126126,0.5833049801681679,True,False
448047,155,Enzo,Enzo Fernández,MID,Chelsea,6,7.0,a,,,5.1,2.4,2.0,7.0,Chelsea,full,3114.0,157.0,35.0,18.52,8.0,7.0520231213872835,4.0,3,3.0,FUL,False,4.53757225433526,0.5352601156069364,5.370671924767307,1.1753371868978806,4.78134077307253,0.7757847533632287,88.97142857142858,0.8854343558776631,78.77835954865837,True,1.0,3.0,4.185179806064088,0.5978828294377269,True,False
424876,368,Szoboszlai,Dominik Szoboszlai,MID,Liverpool,14,7.0,a,,,40.4,2.4,2.0,4.0,Liverpool,full,3232.0,160.0,36.0,11.59,9.0,9.412128712871286,4.0,3,2.6,NEW,False,4.455445544554456,0.3227413366336634,4.541844908731452,1.568688118811881,4.563828997878434,0.782187802516941,89.77777777777777,0.9070354178601652,81.43162418122371,True,1.012,2.7600000000000002,4.1788854208444315,0.5969836315492045,True,False
232928,239,Garner,James Garner,MID,Everton,9,6.0,a,,,4.1,2.1,3.0,4.0,Everton,full,3413.0,159.0,38.0,8.28,11.0,12.077351303838265,3.0,3,3.0,CRY,True,4.192792264869616,0.21834163492528563,4.134684216109225,2.0,4.486407994849405,0.7913285416183631,89.8157894736842,0.9302731956139408,83.55322149027316,True,1.0,3.0,4.165042676548718,0.6941737794247863,True,False
223094,411,Haaland,Erling Haaland,FWD,Man City,15,15.5,a,,,73.5,4.0,1.0,,Man City,full,2953.0,239.0,34.0,28.17,13.0,3.1696579749407383,4.5,3,2.8,BOU,True,7.2841178462580425,0.8585506264815442,7.001587165247285,0.5282763291567897,6.584295426646317,0.766415779911757,86.8529411764706,0.8726078107284823,75.78855485532965,True,1.006,2.88,5.577870228187079,0.3598625953669083,True,True
502500,106,Thiago,Igor Thiago Nascimento Rodrigues,FWD,Brentford,4,8.0,a,,,17.9,2.5,1.0,,Brentford,full,3282.0,181.0,37.0,22.43,10.0,5.86837294332724,3.0,3,3.0,TOT,True,4.963436928702011,0.6150822669104204,5.688368985217332,0.9780621572212067,5.378447803493245,0.7847919655667145,88.70270270270271,0.931558736913175,82.63177769051461,True,1.0,3.0,4.9381189246476715,0.6172648655809589,True,False
