id,name,full,pos,club,short,team_id,price,mins,mpg,form,pts,xgc90,xgi90,own,status,eligible,starting,role
8,Calafiori,Riccardo Calafiori,DEF,Arsenal,ARS,1,5.7,236,78.66666666666667,7.3,22,0.25,0.43,46.9,a,True,True,named by you
31,Konsa,Ezri Konsa Ngoyo,DEF,Arsenal,ARS,1,4.4,101,33.666666666666664,1.7,5,0.35,0.01,12.3,a,True,True,named by you
69,Scott,Alex Scott,MID,Bournemouth,BOU,3,6.0,266,88.66666666666667,8.0,24,1.58,0.21,3.5,a,True,True,form pick
98,Janelt,Vitaly Janelt,MID,Brentford,BRE,4,5.0,270,90.0,7.0,21,1.25,0.28,1.2,a,True,False,bench (fixed)
154,Palmer,Cole Palmer,MID,Chelsea,CHE,6,9.6,262,87.33333333333333,7.0,21,1.61,0.48,20.9,a,True,True,named by you
165,João Pedro,João Pedro Junqueira de Jesus,FWD,Chelsea,CHE,6,7.7,270,90.0,7.0,21,1.6,0.68,72.0,a,True,True,named by you
173,Thomas,Bobby Thomas,DEF,Coventry City,COV,7,4.0,257,85.66666666666667,5.0,15,1.46,0.15,8.6,a,True,False,bench (fixed)
277,Egan,John Egan,DEF,Hull City,HUL,11,4.1,270,90.0,7.7,23,1.68,0.0,6.1,a,True,False,bench (fixed)
572,Tzolakis,Konstantinos Tzolakis,GKP,Hull City,HUL,11,4.6,270,90.0,8.7,26,1.68,0.0,8.7,a,True,True,form pick
330,Bogle,Jayden Bogle,DEF,Leeds,LEE,13,4.5,217,72.33333333333333,7.3,22,0.68,0.38,1.1,a,True,True,form pick
367,Gakpo,Cody Gakpo,MID,Liverpool,LIV,14,7.2,250,83.33333333333333,9.3,28,1.64,0.56,12.5,a,True,True,form pick
368,Szoboszlai,Dominik Szoboszlai,MID,Liverpool,LIV,14,7.0,270,90.0,5.0,15,1.54,0.56,39.4,a,True,True,named by you
411,Haaland,Erling Haaland,FWD,Man City,MCI,15,15.5,270,90.0,8.0,24,0.89,0.99,71.2,a,True,True,named by you
464,Wissa,Yoane Wissa,FWD,Newcastle,NEW,17,6.2,261,87.0,4.3,13,1.48,0.49,16.5,a,True,True,form pick
496,Kinsky,Antonín Kinský,GKP,Spurs,TOT,19,4.5,270,90.0,3.0,9,1.84,0.0,19.0,a,True,False,bench (fixed)
