player,pos,club,price,form,mins,pts,own,status,news,gw4,fdr,starting
Trafford,GKP,Leeds,5.0,5.0,270,15,5.3,a,,NEW (H),2,True
Calafiori,DEF,Arsenal,5.7,7.3,236,22,47.1,a,,SUN (A),3,True
Hall,DEF,Newcastle,5.1,6.0,269,18,11.2,a,,LEE (A),3,True
Konsa,DEF,Arsenal,4.4,1.7,101,5,12.5,a,,SUN (A),3,True
Cherki,MID,Man City,7.8,8.3,173,25,30.5,a,,MUN (A),4,True
Palmer,MID,Chelsea,9.6,7.0,262,21,21.2,a,,HUL (H),2,True
Szoboszlai,MID,Liverpool,7.0,5.0,270,15,39.2,a,,FUL (H),2,True
Gakpo,MID,Liverpool,7.2,9.3,250,28,12.9,a,,FUL (H),2,True
Wissa,FWD,Newcastle,6.2,4.3,261,13,16.7,a,,LEE (A),3,True
João Pedro,FWD,Chelsea,7.7,7.0,270,21,72.1,a,,HUL (H),2,True
Haaland,FWD,Man City,15.5,8.0,270,24,71.2,a,,MUN (A),4,True
Kinsky,GKP,Spurs,4.5,3.0,270,9,18.9,a,,EVE (H),3,False
Groß,MID,Brighton,5.5,5.3,270,16,16.1,a,,COV (A),2,False
Justin,DEF,Leeds,4.5,5.3,270,16,1.5,a,,NEW (H),2,False
Egan,DEF,Hull City,4.1,7.7,270,23,6.1,a,,CHE (A),4,False
