id,name,full,pos,club,short,team_id,price,mins,mpg,form,pts,xgc90,xgi90,own,status,eligible,starting
8,Calafiori,Riccardo Calafiori,DEF,Arsenal,ARS,1,5.7,236,78.66666666666667,7.3,22,0.25,0.43,46.9,a,True,True
31,Konsa,Ezri Konsa Ngoyo,DEF,Arsenal,ARS,1,4.4,101,33.666666666666664,1.7,5,0.35,0.01,12.3,a,True,True
98,Janelt,Vitaly Janelt,MID,Brentford,BRE,4,5.0,270,90.0,7.0,21,1.25,0.28,1.2,a,True,False
154,Palmer,Cole Palmer,MID,Chelsea,CHE,6,9.6,262,87.33333333333333,7.0,21,1.61,0.48,20.9,a,True,True
165,João Pedro,João Pedro Junqueira de Jesus,FWD,Chelsea,CHE,6,7.7,270,90.0,7.0,21,1.6,0.68,72.0,a,True,True
173,Thomas,Bobby Thomas,DEF,Coventry City,COV,7,4.0,257,85.66666666666667,5.0,15,1.46,0.15,8.6,a,True,False
277,Egan,John Egan,DEF,Hull City,HUL,11,4.1,270,90.0,7.7,23,1.68,0.0,6.1,a,True,False
572,Tzolakis,Konstantinos Tzolakis,GKP,Hull City,HUL,11,4.6,270,90.0,8.7,26,1.68,0.0,8.7,a,True,True
356,Virgil,Virgil van Dijk,DEF,Liverpool,LIV,14,6.5,270,90.0,3.0,9,1.54,0.1,17.3,a,True,True
379,Isak,Alexander Isak,FWD,Liverpool,LIV,14,9.0,243,81.0,7.7,23,1.65,0.87,18.9,a,True,True
397,Semenyo,Antoine Semenyo,MID,Man City,MCI,15,8.4,270,90.0,4.3,13,0.89,0.37,18.5,a,True,True
426,B.Fernandes,Bruno Borges Fernandes,MID,Man Utd,MUN,16,12.0,270,90.0,9.0,27,1.36,1.02,47.5,a,True,True
427,Mbeumo,Bryan Mbeumo,MID,Man Utd,MUN,16,7.9,270,90.0,7.0,21,1.36,0.93,26.1,a,True,True
464,Wissa,Yoane Wissa,FWD,Newcastle,NEW,17,6.2,261,87.0,4.3,13,1.48,0.49,16.5,a,True,True
496,Kinsky,Antonín Kinský,GKP,Spurs,TOT,19,4.5,270,90.0,3.0,9,1.84,0.0,19.0,a,True,False
