element,name,pos,club,owners,mult,gw_points,price,played,own_pct,eo_pct
496,Kinsky,GKP,TOT,8,3,0,4.5,False,36.36363636363637,13.636363636363637
1,Raya,GKP,ARS,7,7,0,6.0,False,31.818181818181817,31.818181818181817
8,Calafiori,DEF,ARS,13,13,0,5.5,False,59.09090909090909,59.09090909090909
4,Gabriel,DEF,ARS,8,8,0,8.0,False,36.36363636363637,36.36363636363637
259,Diop,DEF,IPS,7,0,3,4.0,True,31.818181818181817,0.0
423,Shaw,DEF,MUN,7,6,0,4.5,False,31.818181818181817,27.272727272727273
115,De Cuyper,DEF,BHA,5,4,0,4.5,False,22.727272727272727,18.181818181818183
124,Groß,MID,BHA,10,8,0,5.5,False,45.45454545454545,36.36363636363637
368,Szoboszlai,MID,LIV,10,10,3,7.0,True,45.45454545454545,45.45454545454545
426,B.Fernandes,MID,MUN,10,11,0,12.0,False,45.45454545454545,50.0
427,Mbeumo,MID,MUN,9,9,0,8.0,False,40.90909090909091,40.90909090909091
399,Cherki,MID,MCI,8,8,0,7.5,False,36.36363636363637,36.36363636363637
411,Haaland,FWD,MCI,19,49,0,15.5,False,86.36363636363636,222.72727272727272
165,João Pedro,FWD,CHE,15,9,0,7.5,False,68.18181818181819,40.90909090909091
346,Calvert-Lewin,FWD,LEE,9,7,0,6.0,False,40.90909090909091,31.818181818181817
