name,pos,club,in,out,net
Cherki,MID,MCI,6,0,6
De Cuyper,DEF,BHA,3,0,3
Foden,MID,MCI,4,1,3
Gakpo,MID,LIV,2,0,2
Kayode,DEF,BRE,2,0,2
Szoboszlai,MID,LIV,5,3,2
Haaland,FWD,MCI,2,0,2
Schade,MID,BRE,2,1,1
Gibbs-White,MID,NFO,3,2,1
N.Jackson,FWD,AVL,1,0,1
Palmer,GKP,IPS,1,0,1
Petrović,GKP,BOU,1,0,1
Gvardiol,DEF,MCI,3,2,1
Elanga,MID,NEW,2,1,1
Egan,DEF,HUL,2,1,1
Dubravka,GKP,TOT,1,0,1
Yalcouyé,MID,BHA,2,1,1
Hall,DEF,NEW,4,3,1
Davis,DEF,IPS,1,0,1
Thiago,FWD,BRE,2,1,1
Tzolakis,GKP,HUL,2,1,1
Isak,FWD,LIV,2,1,1
Barry,FWD,EVE,1,0,1
Wissa,FWD,NEW,2,1,1
Austin,GKP,TOT,1,0,1
Ajer,DEF,BRE,2,1,1
Ajayi,DEF,HUL,3,2,1
Maatsen,DEF,AVL,1,0,1
Mendy,DEF,HUL,1,1,0
M.Sangaré,MID,BRE,2,2,0
Saka,MID,ARS,1,1,0
Mheuka,FWD,CHE,1,1,0
Rogers,MID,CHE,1,1,0
Konsa,DEF,ARS,2,2,0
Slater,MID,HUL,2,2,0
Virgil,DEF,LIV,2,2,0
White,DEF,ARS,1,1,0
Wirtz,MID,LIV,2,2,0
Ahoka,MID,SUN,1,1,0
A.García,DEF,AVL,1,1,0
Castagne,DEF,FUL,1,1,0
Borges Rodrigues,MID,COV,1,1,0
Kelleher,GKP,BRE,2,2,0
F.Kadıoğlu,DEF,BHA,1,1,0
Furo,FWD,BRE,1,1,0
Gomez,MID,BHA,2,2,0
Dedić,DEF,NEW,1,1,0
Collins,DEF,BRE,1,1,0
Cunha,MID,MUN,0,1,-1
Enzo,MID,MCI,0,1,-1
Sarr,MID,CRY,0,1,-1
Dovin,GKP,COV,0,1,-1
Semenyo,MID,MCI,0,1,-1
Kinsky,GKP,TOT,0,1,-1
Kerkez,DEF,LIV,0,1,-1
Van Hecke,DEF,TOT,0,1,-1
Verbruggen,GKP,BHA,1,2,-1
Walle Egeli,FWD,IPS,0,1,-1
Watkins,FWD,AVL,0,1,-1
Calafiori,DEF,ARS,1,2,-1
Wilson,MID,LEE,0,1,-1
Rodon,DEF,LEE,0,1,-1
Rice,MID,ARS,0,1,-1
Raya,GKP,ARS,0,1,-1
N.Williams,DEF,NFO,0,1,-1
Leno,GKP,FUL,0,1,-1
Guéhi,DEF,MCI,0,1,-1
Mbeumo,MID,MUN,1,2,-1
Groß,MID,BHA,1,2,-1
Mosquera,DEF,ARS,0,1,-1
Pope,GKP,NEW,0,1,-1
Muñoz,DEF,NFO,0,1,-1
Neave,FWD,NEW,0,1,-1
O'Reilly,DEF,MCI,1,2,-1
O.Dango,MID,BRE,0,1,-1
Palmer,MID,CHE,1,2,-1
Longstaff,MID,LEE,0,1,-1
Ndiaye,MID,MCI,0,2,-2
Gabriel,DEF,ARS,0,2,-2
Shaw,DEF,MUN,0,2,-2
Calvert-Lewin,FWD,LEE,0,2,-2
Maguire,DEF,MUN,0,2,-2
Tzolis,MID,ARS,1,4,-3
E.Le Fée,MID,SUN,0,3,-3
João Pedro,FWD,CHE,0,3,-3
B.Fernandes,MID,MUN,2,5,-3
