team,short,actions,hits,def_hits,mid_hits
Arsenal,ARS,197,3,2,1
Aston Villa,AVL,180,0,0,0
Bournemouth,BOU,238,5,3,2
Brentford,BRE,282,8,4,4
Brighton,BHA,168,2,2,0
Chelsea,CHE,214,4,4,0
Coventry City,COV,224,4,4,0
Crystal Palace,CRY,256,6,4,2
Everton,EVE,238,6,5,1
Fulham,FUL,179,1,1,0
Hull City,HUL,239,5,4,1
Ipswich Town,IPS,247,7,5,2
Leeds,LEE,263,9,6,3
Liverpool,LIV,227,5,3,2
Man City,MCI,199,3,0,3
Man Utd,MUN,211,5,2,3
Newcastle,NEW,214,5,4,1
Nott'm Forest,NFO,235,7,6,1
Spurs,TOT,206,4,2,2
Sunderland,SUN,218,6,4,2
