player,team,pos,mins,dc,hits,dc90
Egan,Hull City,DEF,270,41,2,13.67
Hall,Newcastle,DEF,269,30,2,10.04
Justin,Leeds,DEF,270,30,2,10.0
Konsa,Arsenal,DEF,101,11,1,9.8
Calafiori,Arsenal,DEF,236,9,0,3.43
Haaland,Man City,FWD,270,15,0,5.0
João Pedro,Chelsea,FWD,270,7,0,2.33
Wissa,Newcastle,FWD,261,17,0,5.86
Kinsky,Spurs,GKP,270,0,0,0.0
Trafford,Leeds,GKP,270,0,0,0.0
Gakpo,Liverpool,MID,250,25,1,9.0
Szoboszlai,Liverpool,MID,270,29,1,9.67
Cherki,Man City,MID,173,6,0,3.12
Groß,Brighton,MID,270,15,0,5.0
Palmer,Chelsea,MID,262,20,0,6.87
