gw,player,team,short,pos,mins,dc,hit
1,Raya,Arsenal,ARS,GKP,90,0,0
1,Gabriel,Arsenal,ARS,DEF,90,4,0
1,Lewis-Skelly,Arsenal,ARS,MID,90,7,0
1,Calafiori,Arsenal,ARS,DEF,80,5,0
1,Hincapie,Arsenal,ARS,DEF,9,0,0
1,White,Arsenal,ARS,DEF,90,5,0
1,Mosquera,Arsenal,ARS,DEF,90,6,0
1,Saka,Arsenal,ARS,MID,67,7,0
1,Rice,Arsenal,ARS,MID,67,6,0
1,Eze,Arsenal,ARS,MID,14,2,0
1,Ødegaard,Arsenal,ARS,MID,75,8,0
1,Madueke,Arsenal,ARS,MID,22,2,0
1,Merino,Arsenal,ARS,MID,14,2,0
1,Zubimendi,Arsenal,ARS,MID,22,3,0
1,Havertz,Arsenal,ARS,FWD,90,2,0
1,M.Bizot,Aston Villa,AVL,GKP,90,0,0
1,Cash,Aston Villa,AVL,DEF,90,7,0
1,Mings,Aston Villa,AVL,DEF,16,1,0
1,Pau,Aston Villa,AVL,DEF,73,5,0
1,Bogarde,Aston Villa,AVL,MID,16,1,0
1,Maatsen,Aston Villa,AVL,DEF,81,9,0
1,Lindelöf,Aston Villa,AVL,DEF,90,3,0
1,Rogers,Chelsea,CHE,MID,81,7,0
1,Buendía,Aston Villa,AVL,MID,85,7,0
1,Guessand,Crystal Palace,CRY,MID,27,1,0
1,Tielemans,Man Utd,MUN,MID,66,5,0
1,McGinn,Aston Villa,AVL,MID,81,6,0
1,Barkley,Aston Villa,AVL,MID,73,1,0
1,Kamara,Aston Villa,AVL,MID,90,7,0
1,George Hemmings,Aston Villa,AVL,MID,90,5,0
1,Alysson,Aston Villa,AVL,MID,8,3,0
1,Gomes,Aston Villa,AVL,MID,39,7,0
1,Petrović,Bournemouth,BOU,GKP,90,0,0
1,Hill,Bournemouth,BOU,DEF,90,6,0
1,Truffert,Bournemouth,BOU,DEF,90,7,0
1,Smith,Bournemouth,BOU,DEF,90,5,0
1,Rayan,Bournemouth,BOU,MID,88,1,0
1,Tavernier,Bournemouth,BOU,MID,90,8,0
1,Scott,Bournemouth,BOU,MID,90,11,0
1,Kluivert,Bournemouth,BOU,MID,74,9,0
1,Cook,Bournemouth,BOU,MID,75,7,0
1,Gannon-Doak,Bournemouth,BOU,MID,1,1,0
1,Adams,Bournemouth,BOU,MID,15,3,0
1,Tóth.A,Bournemouth,BOU,MID,15,2,0
1,Evanilson,Bournemouth,BOU,FWD,74,8,0
1,Kelleher,Brentford,BRE,GKP,90,0,0
1,Collins,Brentford,BRE,DEF,90,3,0
1,Lewis-Potter,Brentford,BRE,MID,90,10,0
1,Ajer,Brentford,BRE,DEF,90,10,1
1,Kayode,Brentford,BRE,DEF,75,4,0
1,Hickey,Brentford,BRE,DEF,14,0,0
1,Schade,Brentford,BRE,MID,90,9,0
1,O.Dango,Brentford,BRE,MID,66,6,0
1,Damsgaard,Brentford,BRE,MID,14,4,0
1,Jensen,Brentford,BRE,MID,66,5,0
1,Janelt,Brentford,BRE,MID,90,13,1
1,Yarmoliuk,Brentford,BRE,MID,23,6,0
1,Onyeka,Coventry City,COV,MID,90,9,0
1,Anthony,Brentford,BRE,MID,23,8,0
1,Thiago,Brentford,BRE,FWD,82,5,0
1,Wilson,Brentford,BRE,FWD,7,0,0
1,Verbruggen,Brighton,BHA,GKP,90,0,0
1,Rushworth,Coventry City,COV,GKP,90,0,0
1,Van Hecke,Spurs,TOT,DEF,90,9,0
1,Boscagli,Brighton,BHA,DEF,90,6,0
1,De Cuyper,Brighton,BHA,DEF,77,4,0
1,Dunk,Brighton,BHA,DEF,90,2,0
1,Costinha,Brighton,BHA,DEF,26,4,0
1,Hinshelwood,Brighton,BHA,MID,63,3,0
1,Groß,Brighton,BHA,MID,90,5,0
1,Georginio,Brighton,BHA,FWD,90,7,0
1,Gomez,Brighton,BHA,MID,85,6,0
1,Ayari,Brighton,BHA,MID,63,4,0
1,Wieffer,Brighton,BHA,DEF,77,8,0
1,Yohanna,Brighton,BHA,MID,12,0,0
1,Kostoulas,Brighton,BHA,FWD,26,2,0
1,Sánchez,Chelsea,CHE,GKP,90,0,0
1,James,Chelsea,CHE,DEF,90,6,0
1,Gusto,Chelsea,CHE,DEF,75,3,0
1,Hato,Chelsea,CHE,DEF,64,3,0
1,Colwill,Chelsea,CHE,DEF,90,4,0
1,Acheampong,Chelsea,CHE,DEF,90,15,1
1,Palmer,Chelsea,CHE,MID,82,9,0
1,Enzo,Man City,MCI,MID,25,3,0
1,Neto,Chelsea,CHE,MID,14,4,0
1,Estêvão,Chelsea,CHE,MID,7,1,0
1,Garnacho,Aston Villa,AVL,MID,4,0,0
1,Lavia,Chelsea,CHE,MID,64,9,0
1,Andrey Santos,Man Utd,MUN,MID,66,9,0
1,Quenda,Chelsea,CHE,MID,8,1,0
1,João Pedro,Chelsea,CHE,FWD,90,3,0
1,Thomas,Coventry City,COV,DEF,90,10,1
1,van Ewijk,Coventry City,COV,DEF,90,7,0
1,Dasilva,Coventry City,COV,DEF,90,6,0
1,Amenda,Coventry City,COV,DEF,90,9,0
1,Rudoni,Coventry City,COV,MID,20,5,0
1,Grimes,Coventry City,COV,MID,90,7,0
