gw,team,short,opp,xg,xgc,gf,ga
1,Arsenal,ARS,COV,1.8800000000000001,0.21,3,0
1,Coventry City,COV,ARS,0.21,1.8800000000000001,0,3
1,Hull City,HUL,MUN,1.08,1.82,2,0
1,Man Utd,MUN,HUL,1.82,1.08,0,2
1,Everton,EVE,CRY,0.88,1.74,2,0
1,Crystal Palace,CRY,EVE,1.74,0.88,0,2
1,Ipswich Town,IPS,SUN,1.79,0.6699999999999999,2,1
1,Sunderland,SUN,IPS,0.6699999999999999,1.79,1,2
1,Nott'm Forest,NFO,LEE,0.88,0.47000000000000003,0,1
1,Leeds,LEE,NFO,0.47000000000000003,0.88,1,0
1,Brentford,BRE,TOT,3.9099999999999997,0.5700000000000001,3,0
1,Spurs,TOT,BRE,0.5700000000000001,3.9099999999999997,0,3
1,Brighton,BHA,AVL,3.77,0.30000000000000004,4,0
1,Aston Villa,AVL,BHA,0.30000000000000004,3.77,0,4
1,Man City,MCI,BOU,2.4799999999999995,0.65,2,1
1,Bournemouth,BOU,MCI,0.65,2.4799999999999995,1,2
1,Newcastle,NEW,LIV,1.58,3.0100000000000002,2,2
1,Liverpool,LIV,NEW,3.0100000000000002,1.58,2,2
1,Fulham,FUL,CHE,1.3800000000000001,2.23,2,3
1,Chelsea,CHE,FUL,2.23,1.3800000000000001,3,2
2,Crystal Palace,CRY,MCI,0.6799999999999999,2.24,1,4
2,Man City,MCI,CRY,2.24,0.6799999999999999,4,1
2,Liverpool,LIV,NFO,1.74,2.3,2,2
2,Nott'm Forest,NFO,LIV,2.3,1.74,2,2
2,Bournemouth,BOU,EVE,2.19,1.8499999999999999,1,1
2,Everton,EVE,BOU,1.8499999999999999,2.19,1,1
2,Coventry City,COV,HUL,1.3,0.72,0,1
2,Hull City,HUL,COV,0.72,1.3,1,0
2,Spurs,TOT,NEW,1.1300000000000001,0.72,0,2
2,Newcastle,NEW,TOT,0.72,1.1300000000000001,2,0
2,Chelsea,CHE,BHA,3.04,1.46,4,3
2,Brighton,BHA,CHE,1.46,3.04,3,4
2,Leeds,LEE,BRE,1.4600000000000002,1.67,1,1
2,Brentford,BRE,LEE,1.67,1.4600000000000002,1,1
2,Sunderland,SUN,FUL,2.03,0.94,1,0
2,Fulham,FUL,SUN,0.94,2.03,0,1
2,Man Utd,MUN,IPS,5.1499999999999995,2.06,5,2
2,Ipswich Town,IPS,MUN,2.06,5.1499999999999995,2,5
2,Aston Villa,AVL,ARS,0.33999999999999997,1.04,0,1
2,Arsenal,ARS,AVL,1.04,0.33999999999999997,1,0
3,Ipswich Town,IPS,LIV,0.76,0.6900000000000001,0,2
3,Liverpool,LIV,IPS,0.6900000000000001,0.76,2,0
3,Newcastle,NEW,BOU,0.7,1.37,2,2
3,Bournemouth,BOU,NEW,1.37,0.7,2,2
3,Brentford,BRE,SUN,1.21,1.7100000000000002,1,1
3,Sunderland,SUN,BRE,1.7100000000000002,1.21,1,1
3,Brighton,BHA,LEE,2.1999999999999997,2.62,1,1
3,Leeds,LEE,BHA,2.62,2.1999999999999997,1,1
3,Fulham,FUL,CRY,3.16,1.98,2,3
3,Crystal Palace,CRY,FUL,1.98,3.16,3,2
3,Man City,MCI,COV,2.12,1.37,1,0
3,Coventry City,COV,MCI,1.37,2.12,0,1
3,Nott'm Forest,NFO,TOT,0.93,1.07,0,0
3,Spurs,TOT,NFO,1.07,0.93,0,0
3,Hull City,HUL,AVL,0.5700000000000001,1.93,0,0
3,Aston Villa,AVL,HUL,1.93,0.5700000000000001,0,0
3,Everton,EVE,MUN,1.02,0.69,2,2
3,Man Utd,MUN,EVE,0.69,1.02,2,2
3,Arsenal,ARS,CHE,2.06,0.39000000000000007,2,1
3,Chelsea,CHE,ARS,0.39000000000000007,2.06,1,2
